item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
KICK OFF | Workout Booster speziell für Fußballer | Sport Drink mit Kohlenhydraten + Elektrolyten + Mineralien + Aminosäuren + Koffein | 20 Portionen | Mango-Passionsfrucht	Zutaten: Maltodextrin, Isomaltulose*, Säureregulator: Natriumcitrat, Kaliumcitrat, Beta-Alanin, Calciumsalze der Citronensäure, natürliches Aroma, Säuerungsmittel: Citronensäure, Aroma, Magnesiumsalze der Citronensäure, Guaranasamenextrakt (Paullinia cupana, enthält 22 % Koffein), Koffein, Ginkgo biloba Blattextrakt 50:1 (Ginkgo biloba L., enthält 24 % Flavonglykoside), färbendes Lebensmittel (Saflorkonzentrat, Zitronenkonzentrat)**, Süßungsmittel: Sucralose, Ginsengstamm- und -wurzelextrakt 20:1 (Panax ginseng, enthält 80 % Ginsenoside), Süßungsmittel: Acesulfam K, Riboflavin-5'-phosphat, Natrium, Thiaminhydrochlorid, Schwarzer Pfefferfruchtextrakt 25:1 (Piper nigrum, enthält 95 % Piperin)	0125Z1VTF1H	1000101	34.99		25/01/2022 22:52:46 MET		y	4			11				B09QZB1CDJ						4270001471642				AMAZON_EU	Standardvorlage Amazon	Active		false
RECOVERY Regenerationsgetränk | Post Workout Drink Optimal für Sportler und Fitness | Sport Drink mit BCAA + Glutamin + Aminosäuren + Elektrolyten + Mineralien | 20 Portionen | Granatapfel	Inhaltsstoffe: Nahrungsergänzungsmittel mit freien Aminosäuren, Ashwagandhawurzelextrakt, Mineralstoffen, Zucker und Süßungsmitteln Zutaten: Maltodextrin, Aminosäuremischung (L-Leucin, L-Isoleucin, L-Valin), L-Glutamin, Kaliumcitrat, Säureregulator: Natriumcitrat, L-Citrullin, natürliches Aroma, Säuerungsmittel: Citronensäure, Magnesiumsalze der Citronensäure, Calciumsalze der Citronensäure, Aroma, Ashwagandhawurzelextrakt 5:1 (Withania somnifera, enthält 1,5 % Withanolide), Aromamischung (Dextrose, Aroma, Säuerungsmittel: Citronensäure, Rote Beete Saftpulver, Farbstoff: Beta-Carotin, Süßungsmittel: Natriumsaccharin), Rote Beetewurzelpulver (Beta vulgaris), Heidelbeerfruchtsaftpulver (Vaccinium myrtillus L.), Süßungsmittel: Sucralose und Acesulfam K, Zinkcitrat Verzehrempfehlung: 1 gefüllter Messlöffel (31,5g) mit ca. 400 ml stillem Wasser mischen. Direkt nach der Belastung verzehren.	0215AK7UG2K	1000201	34.99		15/02/2023 14:21:07 MET		y	4			11				B08NF99SPM						4270001471611				AMAZON_EU	Standardvorlage Amazon	Active		false
RECOVERY Regenerationsgetränk | Post Workout Drink Optimal für Sportler und Fitness | Sport Drink mit BCAA + Glutamin + Aminosäuren + Elektrolyten + Mineralien | 20 Portionen | Orange	Inhaltsstoffe: Nahrungsergänzungsmittel mit freien Aminosäuren, Ashwagandhawurzelextrakt, Mineralstoffen und Süßungsmitteln Zutaten: Maltodextrin, Aminosäuremischung (L-Leucin, L-Isoleucin, L-Valin), L-Glutamin, Kaliumcitrat, natürliches Aroma, Säureregulator: Natriumcitrat, Säuerungsmittel: Citronensäure, L-Citrullin, Magnesiumsalze der Citronensäure, Calciumsalze der Citronensäure, Ashwagandhawurzelextrakt 5:1 (Withania somnifera, enthält 1,5 % Withanolide), Aroma, Farbstoff: Beta-Carotin, Süßungsmittel: Sucralose und Acesulfam K, Zinkcitrat Verzehrempfehlung: 1 gefüllter Messlöffel (31,5g) mit ca. 400 ml stillem Wasser mischen. Direkt nach der Belastung verzehren.	0215AK6HOVZ	1000202	34.99		15/02/2023 14:21:07 MET		y	4			11				B0BVWDGF9Z						4262405720013				AMAZON_EU	Standardvorlage Amazon	Active		false
Gelenksupplement für Sportler: Flex & Mobility mit Glucosamin und MSM für Gelenke, Knorpel und Bindegewebe.	Du willst deine Gelenke unterstützen und damit die Basis für jede Bewegung deines Körpers auf dem Platz? Dann ist unser FLEX & MOBILITY genau das Richtige für dich: Es liefert dir einen wissenschaftlich fundierten, effektiven und einzigartigen Wirkstoffkomplex für akuten und präventiven Support für Beweglichkeit.	0814AX9RYED	1000301	24.99	999	14/08/2023 16:12:05 MEST		y	4			11				B0CFM59FM8						4262405720020			0	DEFAULT	Standardvorlage Amazon	Active		false
SOCCESS Fitness Shaker 500ml – Eiweiß Shake Mixer & Sport Flasche – BPA-Frei, Gym & Smoothie ideal für Proteinshake (Weiss)		0810ZIM492E	3000201	7.9		10/08/2022 10:31:37 MEST		y	4			11				B0B977HWKC						4270001471635				AMAZON_EU	Standardvorlage Amazon	Active		
SOCCESS Fitness Shaker 500ml – Eiweiß Shake Mixer & Sport Flasche – BPA-Frei, Gym & Smoothie ideal für Proteinshake (Schwarz)		0426AE9W85J	3000501	7.9		27/04/2023 00:42:59 MEST		y	4			11				B0C3PPH8XD						4262405720792				AMAZON_EU	Standardvorlage Amazon	Active		
SOCCESS Sport Trinkflasche 750ml – Schadstoff & BPA Frei für unverfälschten Geschmack – Perfekt für Spiel, Training oder Gym	Die SOCCESS Bottle 750ml ist eine praktische Trinkflasche für alle deine Einheiten. Die Flasche verfügt über einen Drehverschluss mit Mundstück und kann einfach befüllt und gereinigt werden. Dank des großzügig gestalteten Designs kannst du einfach Eiswürfel in dein Sportgetränk oder Wasser geben. Darüber hinaus ist diese Flasche spülmaschinenbeständig, BPA-frei und hat ein Fassungsvermögen von 750 ml.	0321A84DIJY	3000601	6.99		21/03/2023 18:59:51 MET		y	4			11				B0BZ5V1VGZ						4262405720037				AMAZON_EU	Standardvorlage Amazon	Active		
Oatbreak Schoko Energieriegel mit Glutenfreien Haferflocken, Quinoa & Haselnuss (12 Riegel Packung) – Natürlich Reich an Langkettigen Kohlenhydraten, Protein und Ballaststoffe	Entdecken Sie unseren leckeren und nahrhaften Müsliriegel mit glutenfreien Haferflocken, Haselnüssen und verführerischer Kakao-Schokolade! Dieser einzigartige Snack ist perfekt für zwischendurch und bietet Ihnen eine gesunde, energiereiche Alternative zu herkömmlichen Süßigkeiten. Unser Müsliriegel überzeugt durch seine ausgewogene Mischung aus knusprigen glutenfreien Haferflocken, knackigen Haselnüssen und zartschmelzender Kakao-Schokolade. Die natürlichen Zutaten versorgen Sie mit wertvollen Ballaststoffen, Vitaminen und Mineralstoffen, die Ihnen dabei helfen, Ihre tägliche Ernährung ausgewogen zu gestalten. Genießen Sie diesen Müsliriegel als schnelle Stärkung im Büro, als leckeren Snack nach dem Sport oder einfach als kleinen Genussmoment zwischendurch. Dank der praktischen Einzelverpackung können Sie die Riegel problemlos überallhin mitnehmen und haben so stets eine gesunde und schmackhafte Zwischenmahlzeit zur Hand. Die Vorteile unseres glutenfreien Haferflocken-Haselnuss-Kakao-Schokolade Müsliriegels auf einen Blick: Glutenfrei: Ideal für Menschen mit Glutenunverträglichkeit oder Zöliakie Reich an Ballaststoffen, Vitaminen und Mineralstoffen Knusprige Haferflocken und knackige Haselnüsse Verführerische Kakao-Schokolade für einen Hauch von Süße Praktische Einzelverpackung für unterwegs Gönnen Sie sich diesen köstlichen Müsliriegel und erleben Sie den unwiderstehlichen Geschmack von glutenfreien Haferflocken, Haselnüssen und Kakao-Schokolade in einem perfekten Snack für zwischendurch!	0413A8KT61D	4000401	24.99		13/04/2023 12:59:11 MEST		y	4			11				B0C24N993K						4270001471680				AMAZON_EU	Standardvorlage Amazon	Active		
KICK OFF | Workout Booster speziell für Fußballer | Sport Drink mit Kohlenhydraten + Elektrolyten + Mineralien + Aminosäuren + Koffein | 20 Portionen | Berry-Mix	Zutaten: Maltodextrin, Isomaltulose*, Säureregulator: Natriumcitrat, Kaliumcitrat, Beta-Alanin, Calciumsalze der Citronensäure, Aroma, Säuerungsmittel: Citronensäure, natürliches Aroma, Magnesiumsalze der Citronensäure, Rote Beetewurzelpulver (Beta vulgaris), Guaranasamenextrakt (Paullinia cupana, enthält 22 % Koffein), Koffein, Ginkgo biloba Blattextrakt 50:1 (Ginkgo biloba L., enthält 24 % Flavonglykoside), Süßungsmittel: Sucralose, Ginsengstamm- und -wurzelextrakt 20:1 (Panax ginseng, enthält 80 % Ginsenoside), Süßungsmittel: Acesulfam K, Riboflavin-5'-phosphat, Natrium, Thiaminhydrochlorid, Schwarzer Pfefferfruchtextrakt 25:1 (Piper nigrum, enthält 95 % Piperin)	0125Z1TPTFJ	1000102	34.99		25/01/2022 22:45:35 MET		y	4			11				B09QZBM6PB						4270001471659				AMAZON_EU	Standardvorlage Amazon	Inactive		false
KICK OFF | Workout Booster speziell für Fußballer | Sport Drink mit Kohlenhydraten + Elektrolyten + Mineralien + Aminosäuren + Koffein | 20 Portionen | Grüner Apfel	Isomaltulose*, Maltodextrin, natürliches Aroma Säureregulator: Natriumcitrat, Kaliumcitrat, Beta-Alanin, Säuerungsmittel: Citronensäure, Calciumsalze der Citronensäure, Magnesiumsalze der Citronensäure, Guaranasamenextrakt (Paullinia cupana, enthält 22 % Koffein), Koffein, Ginkgo biloba Blattextrakt 50:1 (Ginkgo biloba L., enthält 24 % Flavonglykoside), Süßungsmittel: Sucralose, Ginsengstamm- und -wurzelextrakt 20:1 (Panax ginseng, enthält 80 % Ginsenoside), Süßungsmittel: Acesulfam K, Farbstoff: Chinolingelb**, Riboflavin-5'-phosphat, Natrium, Thiaminhydrochlorid, Farbstoff: Brillantblau FCF, Schwarzer Pfefferfruchtextrakt 25:1 (Piper nigrum, enthält 95 % Piperin)	0215AK8CHLU	1000103	34.99		15/02/2023 14:21:07 MET		y	4			11				B0BVWGG877						4262405720006				AMAZON_EU	Standardvorlage Amazon	Inactive		false
